ref_no_supabase;id_antigo;categoria;enunciado;track_id;link_da_faixa
legacy-4598;4598;CNPI - CT1 - M2;Qual informação, além dos preços de fechamento, a Teoria de Dow considera fundamental para acompanhamento das tendências no mercado?;1547961127;https://api.soundcloud.com/tracks/1547961127
legacy-4599;4599;CNPI - CT1 - M2;O oitavo Princípio da Teoria de Dow diz que as “médias devem ser calculadas com base no preço de;1547959552;https://api.soundcloud.com/tracks/1547959552
legacy-4600;4600;CNPI - CT1 - M2;"Entrar em uma tendência primária de alta seria ""o melhor dos mundos"". Das três fases que formam essa tendência, em qual delas o investidor tradicional (sem informação privilegiada)";1547957770;https://api.soundcloud.com/tracks/1547957770
legacy-4601;4601;CNPI - CT1 - M2;"Sair em uma tendência primária de baixa, seria ""o melhor dos mundos"". Das três fases que formam essa tendência, em qual delas o investidor tradicional (sem informação privilegiada)";1541883484;https://api.soundcloud.com/tracks/1541883484
legacy-4602;4602;CNPI - CT1 - M2;Charles Dow usa em suas análises somente:;1547953003;https://api.soundcloud.com/tracks/1547953003
legacy-4603;4603;CNPI - CT1 - M2;Segundo a teoria de Dow, o preço é definido principalmente por:;1547950426;https://api.soundcloud.com/tracks/1547950426
legacy-4604;4604;CNPI - CT1 - M2;No final do século XIX, Charles Dow foi editor de um periódico que viria a ser chamado The Wall Street Journal. Embora nunca tenha publicado um livro, após sua morte sua teoria foi;1547948695;https://api.soundcloud.com/tracks/1547948695
legacy-4605;4605;CNPI - CT1 - M2;O princípio da confirmação de Dow estabelece que uma tendência só pode ser considerada válida quando confirmada por índices diferentes. Dentre os parâmetros abaixo, os menos prováv;1547945296;https://api.soundcloud.com/tracks/1547945296
legacy-4606;4606;CNPI - CT1 - M2;Sobre as tendências primárias de alta contidas no Terceiro Princípio da Teoria de Dow, podemos afirmar que:;1547941630;https://api.soundcloud.com/tracks/1547941630
legacy-4607;4607;CNPI - CT1 - M2;O Primeiro Princípio da Teoria de Dow diz que o mercado tem três tendências. Sobre elas, marque a alternativa que seja verdadeira: I. As três tendências são chamadas Primária, Secu;1547937217;https://api.soundcloud.com/tracks/1547937217
legacy-4608;4608;CNPI - CT1 - M2;Sobre a Teoria de Dow, podemos afirmar que, EXCETO;1547934925;https://api.soundcloud.com/tracks/1547934925
legacy-4609;4609;CNPI - CT1 - M2;São Princípios da Teoria de Dow, EXCETO;1547931838;https://api.soundcloud.com/tracks/1547931838
legacy-4610;4610;CNPI - CT1 - M2;Sobre os Princípios da Teoria de Dow, podemos afirmar que;1547923162;https://api.soundcloud.com/tracks/1547923162
legacy-4611;4611;CNPI - CT1 - M2;Em relação ao Volume, podemos considerar em nossas análises as afirmativas abaixo, exceto:;1547910454;https://api.soundcloud.com/tracks/1547910454
legacy-4612;4612;CNPI - CT1 - M2;O acompanhamento do volume é essencial porque permite ao Analista Técnico, exceto:;1547892739;https://api.soundcloud.com/tracks/1547892739
legacy-4613;4613;CNPI - CT1 - M2;A análise do volume de negócios pode identificar como os investidores estão reagindo às mudanças de condições. A ideia que ampara tal visão sobre a análise de volume é que:*;1557802960;https://api.soundcloud.com/tracks/1557802960
legacy-4614;4614;CNPI - CT1 - M2;Qual é a principal falha dos investidores para Charles Dow?;1557800911;https://api.soundcloud.com/tracks/1557800911
legacy-4615;4615;CNPI - CT1 - M2;Através do gráfico abaixo, podemos deduzir que a fase que precede a Baixa sensível e o Pânico denomina-se:;1557790420;https://api.soundcloud.com/tracks/1557790420
legacy-4616;4616;CNPI - CT1 - M2;Segundo a teoria de Dow, qual das fases abaixo é a mais provável de estar ocorrendo durante o período abrangido no gráfico abaixo?;1557573247;https://api.soundcloud.com/tracks/1557573247
legacy-4617;4617;CNPI - CT1 - M2;No gráfico abaixo, podemos verificar que dois analistas adotaram em suas respectivas compras a estratégia de posicionamento no rompimento de congestões com alargamento das Bandas d;1557564481;https://api.soundcloud.com/tracks/1557564481
legacy-4618;4618;CNPI - CT1 - M2;O gráfico abaixo demonstra a pertinência do Princípio da Confirmação na Teoria de Charles Dow, que defende que;1557562621;https://api.soundcloud.com/tracks/1557562621
legacy-4619;4619;CNPI - CT1 - M2;Qual o mais provável alvo de um seguidor de Dow para a compra indicada no gráfico abaixo?;1557561085;https://api.soundcloud.com/tracks/1557561085
legacy-4620;4620;CNPI - CT1 - M2;O gráfico de Candle abaixo demonstra a evolução dos preços de uma ação, enquanto que as duas linhas plotadas se referem aos índices de mercado e do setor que abrange o ativo. No es;1557555754;https://api.soundcloud.com/tracks/1557555754
legacy-4621;4621;CNPI - CT1 - M2;No gráfico abaixo podemos visualizar quatro aberturas de posições compradas de longo prazo por quatro diferentes analistas, nesta ordem: João, Maria, José e Ana. Quem operou sem am;1557553087;https://api.soundcloud.com/tracks/1557553087
legacy-4622;4622;CNPI - CT1 - M3;Em um gráfico plotado em Escala Logarítmica, um canal em formação apresenta a seguinte sequência de reversões: 10,00, 7,50 e 8,00. Em que patamar de preço ocorrerá a próxima revers;1571266255;https://api.soundcloud.com/tracks/1571266255
legacy-4623;4623;CNPI - CT1 - M3;Em um gráfico formado em forma de escala logarítmica, usando o exemplo das ações beta que estão em tendência de alta, qual o preço a ação deverá atingir para formar um canal de alt;1571263666;https://api.soundcloud.com/tracks/1571263666
legacy-4624;4624;CNPI - CT1 - M3;Uma das formas de facilitar a visualização de uma tendência preconizada por Dow é traçar uma reta denominada Linha de Tendência. Para traçar uma Linha de Tendência de Baixa, devemo;1571259976;https://api.soundcloud.com/tracks/1571259976
legacy-4625;4625;CNPI - CT1 - M3;Os gráficos permitem a visualização de movimentos nos preços, que geralmente obedecem uma dinâmica de extremos e retornos. Quando os fundos são retornos e os topos são extremos, fi;1571256640;https://api.soundcloud.com/tracks/1571256640
legacy-4626;4626;CNPI - CT1 - M3;Muitas vezes é possível identificar um comportamento repetitivo de reversões quando os preços alcançam determinados patamares. Quando for possível traçar linhas a partir de ondes o;1571254360;https://api.soundcloud.com/tracks/1571254360
legacy-4627;4627;CNPI - CT1 - M3;Suportes e Resistências são uns dos principais conceitos dentro da Análise Técnica, pois se constituem uma sólida base para uma boa análise. Servem como referências para Suportes e;1571255125;https://api.soundcloud.com/tracks/1571255125
legacy-4628;4628;CNPI - CT1 - M3;A região do gráfico onde os preços param de subir e revertem em sentido contrário mais de uma vez é denominada Área de:;1571255788;https://api.soundcloud.com/tracks/1571255788
legacy-4629;4629;CNPI - CT1 - M3;A formação que ocorre em tendência de baixa, quando o preço do ativo forma um fundo que não ultrapassa o fundo anterior e, em seguida, supera o último topo anterior, denomina-se:;1571253805;https://api.soundcloud.com/tracks/1571253805
legacy-4630;4630;CNPI - CT1 - M3;Uma característica importante relacionada a Suportes e Resistências e que auxilia muito em estratégias de investimento é a Bipolaridade. Dentre as afirmações abaixo, a que mais se ;1571253205;https://api.soundcloud.com/tracks/1571253205
legacy-4631;4631;CNPI - CT1 - M3;Em um gráfico plotado em escala aritmética, um analista observa a seguinte sequência de fechamento nos topos e fundos de determinado índice: 15.000, 10.000 e 12.000. A fim de permi;1571252707;https://api.soundcloud.com/tracks/1571252707
legacy-4632;4632;CNPI - CT1 - M3;Para traçar uma Resistência, conforme plotada no gráfico abaixo, é necessária a ligação entre os pontos:;1571252311;https://api.soundcloud.com/tracks/1571252311
legacy-4633;4633;CNPI - CT1 - M3;Para confirmar uma Resistência, conforme plotada no gráfico abaixo, é necessária a ligação entre os pontos, usando o mesmo gráfico acima:;1571251582;https://api.soundcloud.com/tracks/1571251582
legacy-4634;4634;CNPI - CT1 - M3;Em uma tendência principal, quando é dado o sinal de mercado de alta?;1571251087;https://api.soundcloud.com/tracks/1571251087
legacy-4635;4635;CNPI - CT1 - M3;Qual das seguintes alternativas sobre linhas de tendências está correta?;1571250331;https://api.soundcloud.com/tracks/1571250331
legacy-4636;4636;CNPI - CT1 - M3;Uma combinação de volume descendente e preços ascendentes é normalmente associada com uma:;1571249584;https://api.soundcloud.com/tracks/1571249584
legacy-4637;4637;CNPI - CT1 - M3;Qual das seguintes afirmativas sobre Suportes está correta?;1571248759;https://api.soundcloud.com/tracks/1571248759
legacy-4638;4638;CNPI - CT1 - M3;Qual das seguintes afirmativas sobre Resistências está correta?;1571247709;https://api.soundcloud.com/tracks/1571247709
legacy-4639;4639;CNPI - CT1 - M3;Uma Linha de Tendência de Baixa, para ser confirmada, deve conectar ao menos:;1571246800;https://api.soundcloud.com/tracks/1571246800
legacy-4640;4640;CNPI - CT1 - M3;Qual das seguintes regras é válida para o uso de Linhas de Tendência?;1571245573;https://api.soundcloud.com/tracks/1571245573
legacy-4641;4641;CNPI - CT1 - M3;Em uma tendência principal de baixa, espera-se que o volume:;1571244718;https://api.soundcloud.com/tracks/1571244718
legacy-4642;4642;CNPI - CT1 - M3;Sobre os termos “bullish” e “bearish”, é correto afirmar que significam, respectivamente;1571243869;https://api.soundcloud.com/tracks/1571243869
legacy-4643;4643;CNPI - CT1 - M3;Uma tendência só acaba:;1571242654;https://api.soundcloud.com/tracks/1571242654
legacy-4644;4644;CNPI - CT1 - M3;Topos e Fundos ascendentes para um ativo indicam que o:;1571241790;https://api.soundcloud.com/tracks/1571241790
legacy-4645;4645;CNPI - CT1 - M3;Existem três tipos de suporte e de resistência. Aponte a alternativa que não corresponda a um desses três tipos:;1571241031;https://api.soundcloud.com/tracks/1571241031
legacy-4646;4646;CNPI - CT1 - M3;Caracterizam a força de uma linha de tendência, EXCETO;1571240248;https://api.soundcloud.com/tracks/1571240248
legacy-4647;4647;CNPI - CT1 - M3;Sobre a Linha de Canal, podemos afirmar que, EXCETO;1571186464;https://api.soundcloud.com/tracks/1571186464
legacy-4648;4648;CNPI - CT1 - M3;Em uma linha de canal de alta, a linha de tendência de alta está_______________________de canal ou de retorno.;1571185369;https://api.soundcloud.com/tracks/1571185369
legacy-4649;4649;CNPI - CT1 - M3;No gráfico abaixo podemos visualizar o rompimento de uma Resistência com subsequente manifestação de Bipolaridade, que significa a transformação de uma Resistência rompida em:;1571184766;https://api.soundcloud.com/tracks/1571184766
legacy-4650;4650;CNPI - CT1 - M3;Assinale a alternativa incorreta sobre congestão ou consolidação:;1571183746;https://api.soundcloud.com/tracks/1571183746
legacy-4651;4651;CNPI - CT1 - M3;Quando uma linha de tendência de alta é rompida ela se torna uma:;1571183182;https://api.soundcloud.com/tracks/1571183182
legacy-4652;4652;CNPI - CT1 - M3;Avalie a figura abaixo. Aponte a afirmativa correta:;1571181979;https://api.soundcloud.com/tracks/1571181979
legacy-4653;4653;CNPI - CT1 - M3;"Observe a figura abaixo e assinale a alternativa correta. I. A linha de tendência é de alta; II. Atende ao requisito mínimo para a linha representar uma tendência de alta, já que p";1571181232;https://api.soundcloud.com/tracks/1571181232
legacy-4654;4654;CNPI - CT1 - M3;Qual das alternativas abaixo é formada no final de uma tendência de baixa, sua característica é definida pela forma de um fundo não ultrapassar o anterior e em seguida realiza o ro;1571149531;https://api.soundcloud.com/tracks/1571149531
legacy-4655;4655;CNPI - CT1 - M3;Preços em tendência de alta refletem:;1557819448;https://api.soundcloud.com/tracks/1557819448
legacy-4656;4656;CNPI - CT1 - M3;Em um gráfico formado em Escala Logarítmica, qual será o valor que preço deverá atingir para formar um canal de alta, a partir de sucessivas reversões em 4,00, 7,00 e 5,00?;1557813910;https://api.soundcloud.com/tracks/1557813910
legacy-4670;4670;CNPI - CT1 - M4;Os padrões em Análise Técnica são figuras que surgem nos gráficos em determinados momentos, através dos quais o Analista, baseado no ocorrido no passado, pode decidir quando é mais;1778456946;https://api.soundcloud.com/tracks/1778456946
legacy-4671;4671;CNPI - CT1 - M4;Qual figura gráfica pode ser traçada a partir de duas máximas e duas mínimas, cuja a altura, que praticamente não varia, projeta objetivo de ganho a partir de seu rompimento?;1778457981;https://api.soundcloud.com/tracks/1778457981
legacy-4672;4672;CNPI - CT1 - M4;Qual o importante significado técnico atribuído ao Gap de Continuação?;1778458836;https://api.soundcloud.com/tracks/1778458836
legacy-4673;4673;CNPI - CT1 - M4;Qual o tipo de Gap que se caracteriza por ocorrer ao final dos períodos de congestão, evidenciando seu rompimento?;1778462382;https://api.soundcloud.com/tracks/1778462382
legacy-4674;4674;CNPI - CT1 - M4;Uma área de congestão situada no topo de um movimento de preços e isolada por dois gaps, observados antes e depois de sua ocorrência, é conhecida como:;1778463132;https://api.soundcloud.com/tracks/1778463132
legacy-4675;4675;CNPI - CT1 - M4;Os topos que ocorrem entre os picos de Ombro-Cabeça-Ombro Invertido representam:;1778463483;https://api.soundcloud.com/tracks/1778463483
legacy-4676;4676;CNPI - CT1 - M4;Qual tipo de gap tende a ser o mais lucrativo para operar?;1778464644;https://api.soundcloud.com/tracks/1778464644
legacy-4677;4677;CNPI - CT1 - M4;Figura gráfica que aparece em tendências de alta, após forte movimento direcional, formada por uma congestão que aparece na forma de um canal normalmente inclinado contra a tendênc;1764320652;https://api.soundcloud.com/tracks/1764320652
legacy-4678;4678;CNPI - CT1 - M4;Os padrões gráficos de reversão sugerem que os preços poderão passar a se desenvolver em um movimento lateral, ou mais provavelmente, iniciar uma tendência contrária à vigente. O a;1764320172;https://api.soundcloud.com/tracks/1764320172
legacy-4679;4679;CNPI - CT1 - M4;É um padrão considerado de reversão baixista:;1764319941;https://api.soundcloud.com/tracks/1764319941
legacy-4680;4680;CNPI - CT1 - M4;O Ombro-Cabeça-Ombro – OCO é um dos mais importantes Padrões de Reversão de Tendência. Como seu nome sugere, lembra os ombros e a cabeça de uma pessoa, sendo que o segundo topo, qu;1764319629;https://api.soundcloud.com/tracks/1764319629
legacy-4681;4681;CNPI - CT1 - M4;As figuras gráficas denominadas Bandeiras de Alta e Flâmulas de Alta são ambas precedidas por:;1764319452;https://api.soundcloud.com/tracks/1764319452
legacy-4682;4682;CNPI - CT1 - M4;Qual das seguintes alternativas sobre figuras gráficas estão corretas?;1764319191;https://api.soundcloud.com/tracks/1764319191
legacy-4683;4683;CNPI - CT1 - M4;Sobre o Gap de Exaustão, podemos afirmar que, EXCETO;1764318867;https://api.soundcloud.com/tracks/1764318867
legacy-4684;4684;CNPI - CT1 - M4;É também conhecido como “gap de medida”, é o mais usado por investidores para iniciarem novas operações. Trata-se do gap de:;1764318501;https://api.soundcloud.com/tracks/1764318501
legacy-4685;4685;CNPI - CT1 - M4;Sobre os Gaps, marque a alternativa falsa.;1764318255;https://api.soundcloud.com/tracks/1764318255
legacy-4686;4686;CNPI - CT1 - M4;Um analista, ao observar uma abertura em gap de medida, abriu uma posição comprada. Entretanto, inverteu a posição, zerando a anterior e abrindo posição vendida, quando o gap foi f;1764317919;https://api.soundcloud.com/tracks/1764317919
legacy-4687;4687;CNPI - CT1 - M4;Em relação ao rompimento do padrão Ombro-Cabeça-Ombro - OCO, podemos afirmar sobre volume:;1764317517;https://api.soundcloud.com/tracks/1764317517
legacy-4688;4688;CNPI - CT1 - M4;Qual das seguintes afirmativas melhor caracteriza os padrões de continuidade?;1764317082;https://api.soundcloud.com/tracks/1764317082
legacy-4689;4689;CNPI - CT1 - M4;O que confirma a formação de um Fundo Triplo?;1596118377;https://api.soundcloud.com/tracks/1596118377
legacy-4690;4690;CNPI - CT1 - M4;Marque a alternativa correta sobre Triângulos Simétricos, Ascendentes e Descendentes:;1596118113;https://api.soundcloud.com/tracks/1596118113
legacy-4691;4691;CNPI - CT1 - M4;Qual das seguintes figuras é considerada de reversão altista?;1596117816;https://api.soundcloud.com/tracks/1596117816
legacy-4692;4692;CNPI - CT1 - M4;São características do Gap de Área, também conhecido como Gap Comum, exceto:;1596117456;https://api.soundcloud.com/tracks/1596117456
legacy-4693;4693;CNPI - CT1 - M4;Quando os Gaps ocorrem em rápidos avanços ou declínios, no curso de tendências, podemos classificá-los em:;1596117174;https://api.soundcloud.com/tracks/1596117174
legacy-4694;4694;CNPI - CT1 - M4;Qual dentre as figuras abaixo mais provavelmente sobrepõe uma linha de tendência secundária?;1596116910;https://api.soundcloud.com/tracks/1596116910
legacy-4695;4695;CNPI - CT1 - M4;No desenvolvimento de um triângulo descendente, espera-se um aumento do volume:;1596116619;https://api.soundcloud.com/tracks/1596116619
legacy-4696;4696;CNPI - CT1 - M4;Durante a fase inicial do desenvolvimento de um retângulo, espera-se observar:;1596115536;https://api.soundcloud.com/tracks/1596115536
legacy-4697;4697;CNPI - CT1 - M4;O rompimento em um Ombro-Cabeça-Ombro Invertido ocorre quando os preços quebram acima da linha de pescoço após completar:;1596113994;https://api.soundcloud.com/tracks/1596113994
legacy-4778;4778;CNPI - CT1 - M7;O cruzamento de duas Médias Móveis - MM de períodos diferentes pode ser utilizado com uma regra de compra ou venda. Um sinal válido para compra seria quando a MM de:;1446184660;https://api.soundcloud.com/tracks/1446184660
legacy-4779;4779;CNPI - CT1 - M7;No cruzamento de Médias Móveis - MM, desprezando o gráfico de preços, qual deve ser o comportamento da MM de maior período a fim de gerar um sinal de venda?;1446198319;https://api.soundcloud.com/tracks/1446198319
legacy-4780;4780;CNPI - CT1 - M7;Sobre o método de cruzamento duplo de Médias Móveis (MM), quando os preços são desconsiderados e a MM mais rápida cruza de cima para baixo a MM mais lenta, é gerado um sinal para:;1446212764;https://api.soundcloud.com/tracks/1446212764
legacy-4781;4781;CNPI - CT1 - M7;Um importante conceito da análise técnica é inspirado na projeção da posição de um avião baseada em sua trajetória. Qual indicador serve de base para tal projeção, considerando que;1446219910;https://api.soundcloud.com/tracks/1446219910
legacy-4782;4782;CNPI - CT1 - M7;O que significa clímax de venda? I. A confirmação de um pivô de baixa. II. O rompimento de uma linha de suporte. III. O ingresso dos preços na região de sobrevenda. Está correta a ;1446227572;https://api.soundcloud.com/tracks/1446227572
legacy-4979;4979;CFG - M1 - Métodos Quantitativos;Sobre os termos “bullish” e “bearish”, é correto afirmar que significam, respectivamente;1571243869;https://api.soundcloud.com/tracks/1571243869
legacy-4980;4980;CFG - M1 - Métodos Quantitativos;Suportes e Resistências são uns dos principais conceitos dentro da Análise Técnica, pois se constituem uma sólida base para uma boa análise. Servem como referências para Suportes e;1571255125;https://api.soundcloud.com/tracks/1571255125
legacy-4981;4981;CFG - M1 - Métodos Quantitativos;Um importante conceito da análise técnica é inspirado na projeção da posição de um avião baseada em sua trajetória. Qual indicador serve de base para tal projeção, considerando que;1446219910;https://api.soundcloud.com/tracks/1446219910
legacy-4982;4982;CFG - M1 - Métodos Quantitativos;O cruzamento de duas Médias Móveis - MM de períodos diferentes pode ser utilizado com uma regra de compra ou venda. Um sinal válido para compra seria quando a MM de:;1446184660;https://api.soundcloud.com/tracks/1446184660
legacy-5068;5068;CFG - M2 - Economia;Compete ao CMN, dentre outras atribuições:;1460751475;https://api.soundcloud.com/tracks/1460751475
